filename,session_id,problem_id,success,task_type,in_tokens,out_tokens,start_time,end_time,duration,steps,supervisor_result
354c4a86-e0c0-4924-bce6-c2657c7919fc_1756116191.7089975.json,354c4a86-e0c0-4924-bce6-c2657c7919fc,k8s_target_port-misconfig-mitigation-1,False,mitigation,39684,61,2025-08-25 10:03:11,2025-08-25 10:08:21,309.95000982284546,30,
f941d84a-f55d-48b0-93b4-be38ec09bd0d_1756126848.0183375.json,f941d84a-f55d-48b0-93b4-be38ec09bd0d,pod_failure_hotel_res-localization-1,True,localization,543,24,2025-08-25 13:00:48,2025-08-25 13:00:54,6.966082334518433,2,
785fedda-c6b3-4a7e-acb1-a447208f236e_1756121384.1265235.json,785fedda-c6b3-4a7e-acb1-a447208f236e,revoke_auth_mongodb-localization-2,False,localization,1032,51,2025-08-25 11:29:44,2025-08-25 11:29:59,15.599178791046143,3,
2f83bd62-49bf-4df0-88ae-6fa5e98b437a_1756117044.0179377.json,2f83bd62-49bf-4df0-88ae-6fa5e98b437a,k8s_target_port-misconfig-analysis-2,False,analysis,999,64,2025-08-25 10:17:24,2025-08-25 10:25:29,485.1777994632721,20,
9280622d-194d-4c1b-a891-bbf8a230341e_1756121543.5594263.json,9280622d-194d-4c1b-a891-bbf8a230341e,revoke_auth_mongodb-analysis-2,True,analysis,1025,62,2025-08-25 11:32:23,2025-08-25 11:32:43,20.0081889629364,3,
6d0515bd-076f-41de-89cc-459977c76f66_1756123759.8932824.json,6d0515bd-076f-41de-89cc-459977c76f66,misconfig_app_hotel_res-localization-1,True,localization,557,24,2025-08-25 12:09:19,2025-08-25 12:09:26,6.18921160697937,2,
f6d77dc6-64a6-46df-970a-eb1ab45f2705_1756133961.978975.json,f6d77dc6-64a6-46df-970a-eb1ab45f2705,astronomy_shop_recommendation_service_cache_failure-localization-1,False,localization,705,22,2025-08-25 14:59:21,2025-08-25 14:59:29,7.734703302383423,2,
d6d14798-fb69-42ec-ac37-1e08ad1d4f39_1756129510.0309813.json,d6d14798-fb69-42ec-ac37-1e08ad1d4f39,astronomy_shop_ad_service_failure-localization-1,False,localization,2546,43,2025-08-25 13:45:10,2025-08-25 13:45:47,37.7386691570282,3,
4add293b-d42a-4372-a444-1f29d2c9395f_1756132340.6126592.json,4add293b-d42a-4372-a444-1f29d2c9395f,astronomy_shop_loadgenerator_flood_homepage-localization-1,False,localization,696,22,2025-08-25 14:32:20,2025-08-25 14:32:29,9.19582486152649,2,
114fac5b-2b5b-4fc7-81c8-4c54a3523478_1756121711.0251303.json,114fac5b-2b5b-4fc7-81c8-4c54a3523478,revoke_auth_mongodb-mitigation-2,False,mitigation,3490,122,2025-08-25 11:35:11,2025-08-25 11:38:04,173.0370388031006,10,
634e8bdc-4489-40ca-82db-9958fc0983af_1756126399.5678923.json,634e8bdc-4489-40ca-82db-9958fc0983af,container_kill-detection,False,detection,546,24,2025-08-25 12:53:19,2025-08-25 12:53:28,9.349988222122192,2,
ce44fb15-4d4b-4abc-93ee-66bd3650c0f2_1756133304.8594072.json,ce44fb15-4d4b-4abc-93ee-66bd3650c0f2,astronomy_shop_product_catalog_service_failure-detection-1,False,detection,699,21,2025-08-25 14:48:24,2025-08-25 14:48:37,12.512508153915405,2,
a086d55f-b3aa-4a0f-916c-1690e54ad87b_1756125116.2632842.json,a086d55f-b3aa-4a0f-916c-1690e54ad87b,scale_pod_zero_social_net-mitigation-1,False,mitigation,9369,182,2025-08-25 12:31:56,2025-08-25 12:36:23,267.2863883972168,16,
cfcbfe90-1feb-4736-a931-a23a38849b31_1756128207.8974001.json,cfcbfe90-1feb-4736-a931-a23a38849b31,noop_detection_social_network-1,False,detection,807,22,2025-08-25 13:23:27,2025-08-25 13:23:49,21.580837965011597,2,
776ddbe3-f4d9-43a7-98f8-6a0003e39fd9_1756124139.0407138.json,776ddbe3-f4d9-43a7-98f8-6a0003e39fd9,misconfig_app_hotel_res-mitigation-1,False,mitigation,1767,71,2025-08-25 12:15:39,2025-08-25 12:16:13,34.21136975288391,4,
180b6807-b340-4fa0-803c-e507786895d6_1756127169.335787.json,180b6807-b340-4fa0-803c-e507786895d6,pod_kill_hotel_res-localization-1,False,localization,540,22,2025-08-25 13:06:09,2025-08-25 13:06:22,13.327529907226562,2,
bea65e4b-c53a-4677-9ccc-c465f9e957f9_1756120922.945383.json,bea65e4b-c53a-4677-9ccc-c465f9e957f9,revoke_auth_mongodb-mitigation-1,False,mitigation,2272,79,2025-08-25 11:22:02,2025-08-25 11:24:31,148.83492136001587,8,
2721d31a-0235-495f-a248-bc168328c01a_1756122505.9794192.json,2721d31a-0235-495f-a248-bc168328c01a,user_unregistered_mongodb-mitigation-1,False,mitigation,2292,77,2025-08-25 11:48:25,2025-08-25 11:49:38,72.11157822608948,5,
f97c2b6b-545d-4fea-a24e-5e33f3021aa0_1756120602.1161518.json,f97c2b6b-545d-4fea-a24e-5e33f3021aa0,revoke_auth_mongodb-localization-1,False,localization,545,24,2025-08-25 11:16:42,2025-08-25 11:16:49,7.212796926498413,2,
0dc28f7f-5458-4e80-bd21-a7a7021ccc2e_1756125579.610773.json,0dc28f7f-5458-4e80-bd21-a7a7021ccc2e,assign_to_non_existent_node_social_net-detection-1,False,detection,802,22,2025-08-25 12:39:39,2025-08-25 12:39:50,11.089931726455688,2,
7fa4f562-b812-4c1a-abfe-0c93c231796d_1756118686.2879205.json,7fa4f562-b812-4c1a-abfe-0c93c231796d,k8s_target_port-misconfig-mitigation-3,False,mitigation,115119,2298,2025-08-25 10:44:46,2025-08-25 10:46:51,125.2457926273346,30,
5b9b7b6d-7e27-4133-92a7-1025a24b0d2d_1756119635.8959942.json,5b9b7b6d-7e27-4133-92a7-1025a24b0d2d,auth_miss_mongodb-analysis-1,False,analysis,6012,101,2025-08-25 11:00:35,2025-08-25 11:03:44,188.66605973243713,11,
d1d9dbc0-263b-4445-afb4-7d0fe0906894_1756116671.591478.json,d1d9dbc0-263b-4445-afb4-7d0fe0906894,k8s_target_port-misconfig-detection-2,False,detection,805,22,2025-08-25 10:11:11,2025-08-25 10:11:25,14.214879751205444,2,
e3522969-62dc-4102-ace8-21c690aad335_1756118064.6264584.json,e3522969-62dc-4102-ace8-21c690aad335,k8s_target_port-misconfig-detection-3,False,detection,806,22,2025-08-25 10:34:24,2025-08-25 10:34:31,7.218216896057129,2,
695da64a-7d1e-41e1-a289-a08565a8ac21_1756122717.4965.json,695da64a-7d1e-41e1-a289-a08565a8ac21,user_unregistered_mongodb-detection-2,False,detection,548,24,2025-08-25 11:51:57,2025-08-25 11:52:06,8.674976110458374,2,
93eabad7-38f8-4dff-af6b-d2404966a40b_1756130895.4628901.json,93eabad7-38f8-4dff-af6b-d2404966a40b,astronomy_shop_cart_service_failure-localization-1,True,localization,1444,83,2025-08-25 14:08:15,2025-08-25 14:09:19,64.31966805458069,4,
ab71984c-8193-41fd-b5d1-29ee345440af_1756131635.467403.json,ab71984c-8193-41fd-b5d1-29ee345440af,astronomy_shop_kafka_queue_problems-detection-1,False,detection,710,21,2025-08-25 14:20:35,2025-08-25 14:21:40,65.14691305160522,2,
f8375db5-c627-450d-b947-7406201eefa0_1756130373.989753.json,f8375db5-c627-450d-b947-7406201eefa0,astronomy_shop_ad_service_manual_gc-localization-1,False,localization,715,28,2025-08-25 13:59:33,2025-08-25 14:00:00,26.297634840011597,2,
37b746e9-c909-42bf-992a-4f5b6cedc69c_1756129741.605728.json,37b746e9-c909-42bf-992a-4f5b6cedc69c,astronomy_shop_ad_service_high_cpu-detection-1,False,detection,724,49,2025-08-25 13:49:01,2025-08-25 13:49:29,28.08115291595459,3,
c974fb53-c497-41e7-a033-182bbb39c354_1756132133.9005523.json,c974fb53-c497-41e7-a033-182bbb39c354,astronomy_shop_loadgenerator_flood_homepage-detection-1,False,detection,696,21,2025-08-25 14:28:53,2025-08-25 14:29:07,14.026922702789307,2,
